      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
 -1.500000E-02   0.00000      3.020074E+00  0.000000E+00  3.020074E+00  0.000000E+00
 -3.000000E-02   0.00000      3.020611E+00  0.000000E+00  3.020611E+00  0.000000E+00
 -4.500000E-02   0.00000      3.021521E+00  0.000000E+00  3.021521E+00  0.000000E+00
 -6.000000E-02   0.00000      3.022739E+00  0.000000E+00  3.022739E+00  0.000000E+00
 -7.500000E-02   0.00000      3.024326E+00  0.000000E+00  3.024326E+00  0.000000E+00
 -9.000000E-02   0.00000      3.026183E+00  0.000000E+00  3.026183E+00  0.000000E+00
 -0.105000       0.00000      3.028325E+00  0.000000E+00  3.028325E+00  0.000000E+00
 -0.120000       0.00000      3.030724E+00  0.000000E+00  3.030724E+00  0.000000E+00
 -0.135000       0.00000      3.033442E+00  0.000000E+00  3.033442E+00  0.000000E+00
 -0.150000       0.00000      3.036279E+00  0.000000E+00  3.036279E+00  0.000000E+00
 -0.165000       0.00000      3.039269E+00  0.000000E+00  3.039269E+00  0.000000E+00
 -0.180000       0.00000      3.042364E+00  0.000000E+00  3.042364E+00  0.000000E+00
 -0.195000       0.00000      3.045661E+00  0.000000E+00  3.045661E+00  0.000000E+00
 -0.210000       0.00000      3.048831E+00  0.000000E+00  3.048831E+00  0.000000E+00
 -0.225000       0.00000      3.051934E+00  0.000000E+00  3.051934E+00  0.000000E+00
 -0.240000       0.00000      3.054892E+00  0.000000E+00  3.054892E+00  0.000000E+00
 -0.255000       0.00000      3.057855E+00  0.000000E+00  3.057855E+00  0.000000E+00
 -0.270000       0.00000      3.060314E+00  0.000000E+00  3.060314E+00  0.000000E+00
 -0.285000       0.00000      3.062363E+00  0.000000E+00  3.062363E+00  0.000000E+00
 -0.300000       0.00000      3.063888E+00  0.000000E+00  3.063888E+00  0.000000E+00
 -0.315000       0.00000      3.065107E+00  0.000000E+00  3.065107E+00  0.000000E+00
 -0.330000       0.00000      3.065262E+00  0.000000E+00  3.065262E+00  0.000000E+00
 -0.345000       0.00000      3.064494E+00  0.000000E+00  3.064494E+00  0.000000E+00
 -0.360000       0.00000      3.062633E+00  0.000000E+00  3.062633E+00  0.000000E+00
 -0.375000       0.00000      3.059999E+00  0.000000E+00  3.059999E+00  0.000000E+00
 -0.390000       0.00000      3.055478E+00  0.000000E+00  3.055478E+00  0.000000E+00
 -0.405000       0.00000      3.049281E+00  0.000000E+00  3.049281E+00  0.000000E+00
 -0.420000       0.00000      3.041165E+00  0.000000E+00  3.041165E+00  0.000000E+00
 -0.435000       0.00000      3.031576E+00  0.000000E+00  3.031576E+00  0.000000E+00
 -0.450000       0.00000      3.018937E+00  0.000000E+00  3.018937E+00  0.000000E+00
 -0.465000       0.00000      3.003563E+00  0.000000E+00  3.003563E+00  0.000000E+00
 -0.480000       0.00000      2.985128E+00  0.000000E+00  2.985128E+00  0.000000E+00
 -0.495000       0.00000      2.964180E+00  0.000000E+00  2.964180E+00  0.000000E+00
 -0.510000       0.00000      2.938690E+00  0.000000E+00  2.938690E+00  0.000000E+00
 -0.525000       0.00000      2.909107E+00  0.000000E+00  2.909107E+00  0.000000E+00
 -0.540000       0.00000      2.875064E+00  0.000000E+00  2.875064E+00  0.000000E+00
 -0.555000       0.00000      2.837026E+00  0.000000E+00  2.837026E+00  0.000000E+00
 -0.570000       0.00000      2.792962E+00  0.000000E+00  2.792962E+00  0.000000E+00
 -0.585000       0.00000      2.743423E+00  0.000000E+00  2.743423E+00  0.000000E+00
 -0.600000       0.00000      2.688153E+00  0.000000E+00  2.688153E+00  0.000000E+00
 -0.615000       0.00000      2.627066E+00  0.000000E+00  2.627066E+00  0.000000E+00
 -0.630000       0.00000      2.559464E+00  0.000000E+00  2.559464E+00  0.000000E+00
 -0.645000       0.00000      2.485748E+00  0.000000E+00  2.485748E+00  0.000000E+00
 -0.660000       0.00000      2.406036E+00  0.000000E+00  2.406036E+00  0.000000E+00
 -0.675000       0.00000      2.319181E+00  0.000000E+00  2.319181E+00  0.000000E+00
 -0.690000       0.00000      2.227683E+00  0.000000E+00  2.227683E+00  0.000000E+00
 -0.705000       0.00000      2.131248E+00  0.000000E+00  2.131248E+00  0.000000E+00
 -0.720000       0.00000      2.030541E+00  0.000000E+00  2.030541E+00  0.000000E+00
 -0.735000       0.00000      1.923648E+00  0.000000E+00  1.923648E+00  0.000000E+00
 -0.750000       0.00000      1.816437E+00  0.000000E+00  1.816437E+00  0.000000E+00
 -0.765000       0.00000      1.707591E+00  0.000000E+00  1.707591E+00  0.000000E+00
 -0.780000       0.00000      1.598124E+00  0.000000E+00  1.598124E+00  0.000000E+00
 -0.795000       0.00000      1.486591E+00  0.000000E+00  1.486591E+00  0.000000E+00
 -0.810000       0.00000      1.379114E+00  0.000000E+00  1.379114E+00  0.000000E+00
 -0.825000       0.00000      1.274006E+00  0.000000E+00  1.274006E+00  0.000000E+00
 -0.840000       0.00000      1.172116E+00  0.000000E+00  1.172116E+00  0.000000E+00
 -0.855000       0.00000      1.073166E+00  0.000000E+00  1.073166E+00  0.000000E+00
 -0.870000       0.00000      9.802141E-01  0.000000E+00  9.802141E-01  0.000000E+00
 -0.885000       0.00000      8.922471E-01  0.000000E+00  8.922471E-01  0.000000E+00
 -0.900000       0.00000      8.095920E-01  0.000000E+00  8.095920E-01  0.000000E+00
 -0.915000       0.00000      7.327288E-01  0.000000E+00  7.327288E-01  0.000000E+00
 -0.930000       0.00000      6.614478E-01  0.000000E+00  6.614478E-01  0.000000E+00
 -0.945000       0.00000      5.956616E-01  0.000000E+00  5.956616E-01  0.000000E+00
 -0.960000       0.00000      5.352511E-01  0.000000E+00  5.352511E-01  0.000000E+00
 -0.975000       0.00000      4.808514E-01  0.000000E+00  4.808514E-01  0.000000E+00
 -0.990000       0.00000      4.306783E-01  0.000000E+00  4.306783E-01  0.000000E+00
 -1.00500       0.00000      3.851537E-01  0.000000E+00  3.851537E-01  0.000000E+00
 -1.02000       0.00000      3.439735E-01  0.000000E+00  3.439735E-01  0.000000E+00
 -1.03500       0.00000      3.076559E-01  0.000000E+00  3.076559E-01  0.000000E+00
 -1.05000       0.00000      2.742319E-01  0.000000E+00  2.742319E-01  0.000000E+00
 -1.06500       0.00000      2.442220E-01  0.000000E+00  2.442220E-01  0.000000E+00
 -1.08000       0.00000      2.173216E-01  0.000000E+00  2.173216E-01  0.000000E+00
 -1.09500       0.00000      1.938912E-01  0.000000E+00  1.938912E-01  0.000000E+00
 -1.11000       0.00000      1.723457E-01  0.000000E+00  1.723457E-01  0.000000E+00
 -1.12500       0.00000      1.531192E-01  0.000000E+00  1.531192E-01  0.000000E+00
 -1.14000       0.00000      1.359746E-01  0.000000E+00  1.359746E-01  0.000000E+00
 -1.15500       0.00000      1.211471E-01  0.000000E+00  1.211471E-01  0.000000E+00
 -1.17000       0.00000      1.075169E-01  0.000000E+00  1.075169E-01  0.000000E+00
 -1.18500       0.00000      9.539577E-02  0.000000E+00  9.539577E-02  0.000000E+00
 -1.20000       0.00000      8.461846E-02  0.000000E+00  8.461846E-02  0.000000E+00
 -1.21500       0.00000      7.533433E-02  0.000000E+00  7.533433E-02  0.000000E+00
 -1.23000       0.00000      6.680115E-02  0.000000E+00  6.680115E-02  0.000000E+00
 -1.24500       0.00000      5.922708E-02  0.000000E+00  5.922708E-02  0.000000E+00
 -1.26000       0.00000      5.250346E-02  0.000000E+00  5.250346E-02  0.000000E+00
 -1.27500       0.00000      4.672382E-02  0.000000E+00  4.672382E-02  0.000000E+00
 -1.29000       0.00000      4.141203E-02  0.000000E+00  4.141203E-02  0.000000E+00
 -1.30500       0.00000      3.670214E-02  0.000000E+00  3.670214E-02  0.000000E+00
 -1.32000       0.00000      3.252472E-02  0.000000E+00  3.252472E-02  0.000000E+00
 -1.33500       0.00000      2.893798E-02  0.000000E+00  2.893798E-02  0.000000E+00
 -1.35000       0.00000      2.564169E-02  0.000000E+00  2.564169E-02  0.000000E+00
 -1.36500       0.00000      2.272055E-02  0.000000E+00  2.272055E-02  0.000000E+00
 -1.38000       0.00000      2.013088E-02  0.000000E+00  2.013088E-02  0.000000E+00
 -1.39500       0.00000      1.790877E-02  0.000000E+00  1.790877E-02  0.000000E+00
 -1.41000       0.00000      1.586664E-02  0.000000E+00  1.586664E-02  0.000000E+00
 -1.42500       0.00000      1.405747E-02  0.000000E+00  1.405747E-02  0.000000E+00
 -1.44000       0.00000      1.245400E-02  0.000000E+00  1.245400E-02  0.000000E+00
 -1.45500       0.00000      1.107858E-02  0.000000E+00  1.107858E-02  0.000000E+00
 -1.47000       0.00000      9.814568E-03  0.000000E+00  9.814568E-03  0.000000E+00
 -1.48500       0.00000      8.694940E-03  0.000000E+00  8.694940E-03  0.000000E+00
 -1.50000       0.00000      7.702743E-03  0.000000E+00  7.702743E-03  0.000000E+00
 -1.500000E-02  2.500000E-02  3.019430E+00 -3.040347E-04  3.019430E+00  2.101140E+01
 -3.000000E-02  2.500000E-02  3.019975E+00 -6.021359E-04  3.019975E+00  2.101517E+01
 -4.500000E-02  2.500000E-02  3.020885E+00 -8.993087E-04  3.020885E+00  2.102150E+01
 -6.000000E-02  2.500000E-02  3.022178E+00 -1.191837E-03  3.022178E+00  2.103095E+01
 -7.500000E-02  2.500000E-02  3.023722E+00 -1.456758E-03  3.023723E+00  2.104117E+01
 -9.000000E-02  2.500000E-02  3.025627E+00 -1.713543E-03  3.025628E+00  2.105431E+01
 -0.105000      2.500000E-02  3.027830E+00 -1.953331E-03  3.027831E+00  2.106950E+01
 -0.120000      2.500000E-02  3.030334E+00 -2.184229E-03  3.030335E+00  2.108720E+01
 -0.135000      2.500000E-02  3.033023E+00 -2.356895E-03  3.033024E+00  2.110546E+01
 -0.150000      2.500000E-02  3.035951E+00 -2.513968E-03  3.035952E+00  2.112562E+01
 -0.165000      2.500000E-02  3.039049E+00 -2.640117E-03  3.039050E+00  2.114692E+01
 -0.180000      2.500000E-02  3.042277E+00 -2.750411E-03  3.042278E+00  2.116939E+01
 -0.195000      2.500000E-02  3.045567E+00 -2.763081E-03  3.045568E+00  2.119199E+01
 -0.210000      2.500000E-02  3.048884E+00 -2.750625E-03  3.048885E+00  2.121472E+01
 -0.225000      2.500000E-02  3.052156E+00 -2.688831E-03  3.052157E+00  2.123710E+01
 -0.240000      2.500000E-02  3.055281E+00 -2.601995E-03  3.055282E+00  2.125842E+01
 -0.255000      2.500000E-02  3.058272E+00 -2.363793E-03  3.058273E+00  2.127921E+01
 -0.270000      2.500000E-02  3.060956E+00 -2.087209E-03  3.060956E+00  2.129736E+01
 -0.285000      2.500000E-02  3.063262E+00 -1.735592E-03  3.063263E+00  2.131281E+01
 -0.300000      2.500000E-02  3.064996E+00 -1.346089E-03  3.064996E+00  2.132380E+01
 -0.315000      2.500000E-02  3.066300E+00 -7.289595E-04  3.066300E+00  2.133327E+01
 -0.330000      2.500000E-02  3.066789E+00 -5.456915E-05  3.066789E+00  2.133590E+01
 -0.345000      2.500000E-02  3.066402E+00  7.315653E-04  3.066402E+00  2.133232E+01
 -0.360000      2.500000E-02  3.064804E+00  1.574065E-03  3.064804E+00  2.131915E+01
 -0.375000      2.500000E-02  3.062339E+00  2.752933E-03  3.062340E+00  2.130305E+01
 -0.390000      2.500000E-02  3.058306E+00  4.015472E-03  3.058308E+00  2.127385E+01
 -0.405000      2.500000E-02  3.052660E+00  5.441274E-03  3.052665E+00  2.123329E+01
 -0.420000      2.500000E-02  3.044864E+00  6.949823E-03  3.044872E+00  2.117557E+01
 -0.435000      2.500000E-02  3.035570E+00  8.941856E-03  3.035584E+00  2.111295E+01
 -0.450000      2.500000E-02  3.023615E+00  1.105101E-02  3.023635E+00  2.102817E+01
 -0.465000      2.500000E-02  3.008991E+00  1.338879E-02  3.009021E+00  2.092467E+01
 -0.480000      2.500000E-02  2.990892E+00  1.584414E-02  2.990934E+00  2.079332E+01
 -0.495000      2.500000E-02  2.970418E+00  1.894716E-02  2.970478E+00  2.065439E+01
 -0.510000      2.500000E-02  2.945785E+00  2.219719E-02  2.945869E+00  2.048101E+01
 -0.525000      2.500000E-02  2.917081E+00  2.573398E-02  2.917195E+00  2.027924E+01
 -0.540000      2.500000E-02  2.883216E+00  2.942303E-02  2.883366E+00  2.003590E+01
 -0.555000      2.500000E-02  2.845865E+00  3.383285E-02  2.846066E+00  1.978169E+01
 -0.570000      2.500000E-02  2.802599E+00  3.838000E-02  2.802861E+00  1.947879E+01
 -0.585000      2.500000E-02  2.753720E+00  4.319281E-02  2.754059E+00  1.913715E+01
 -0.600000      2.500000E-02  2.698049E+00  4.815688E-02  2.698478E+00  1.874047E+01
 -0.615000      2.500000E-02  2.637804E+00  5.355481E-02  2.638348E+00  1.832955E+01
 -0.630000      2.500000E-02  2.570328E+00  5.897493E-02  2.571004E+00  1.785975E+01
 -0.645000      2.500000E-02  2.496332E+00  6.442876E-02  2.497163E+00  1.734551E+01
 -0.660000      2.500000E-02  2.415117E+00  6.991982E-02  2.416128E+00  1.677225E+01
 -0.675000      2.500000E-02  2.329004E+00  7.490475E-02  2.330208E+00  1.618297E+01
 -0.690000      2.500000E-02  2.236224E+00  7.967166E-02  2.237643E+00  1.554036E+01
 -0.705000      2.500000E-02  2.137997E+00  8.398885E-02  2.139646E+00  1.486103E+01
 -0.720000      2.500000E-02  2.034779E+00  8.807139E-02  2.036684E+00  1.413999E+01
 -0.735000      2.500000E-02  1.928166E+00  9.039247E-02  1.930284E+00  1.340615E+01
 -0.750000      2.500000E-02  1.818419E+00  9.230064E-02  1.820760E+00  1.264839E+01
 -0.765000      2.500000E-02  1.706904E+00  9.335569E-02  1.709455E+00  1.187863E+01
 -0.780000      2.500000E-02  1.595132E+00  9.392941E-02  1.597895E+00  1.110499E+01
 -0.795000      2.500000E-02  1.483299E+00  9.236401E-02  1.486172E+00  1.032878E+01
 -0.810000      2.500000E-02  1.373463E+00  9.045328E-02  1.376438E+00  9.569983E+00
 -0.825000      2.500000E-02  1.266384E+00  8.780467E-02  1.269424E+00  8.829473E+00
 -0.840000      2.500000E-02  1.163646E+00  8.473339E-02  1.166727E+00  8.122521E+00
 -0.855000      2.500000E-02  1.064048E+00  8.043306E-02  1.067083E+00  7.425041E+00
 -0.870000      2.500000E-02  9.701049E-01  7.602025E-02  9.730789E-01  6.773665E+00
 -0.885000      2.500000E-02  8.816277E-01  7.134463E-02  8.845098E-01  6.159203E+00
 -0.900000      2.500000E-02  7.995829E-01  6.651935E-02  8.023451E-01  5.596028E+00
 -0.915000      2.500000E-02  7.220193E-01  6.161601E-02  7.246437E-01  5.048819E+00
 -0.930000      2.500000E-02  6.509871E-01  5.676988E-02  6.534578E-01  4.553984E+00
 -0.945000      2.500000E-02  5.857012E-01  5.203524E-02  5.880081E-01  4.098548E+00
 -0.960000      2.500000E-02  5.265451E-01  4.736271E-02  5.286710E-01  3.692689E+00
 -0.975000      2.500000E-02  4.715607E-01  4.321258E-02  4.735365E-01  3.302779E+00
 -0.990000      2.500000E-02  4.221561E-01  3.917398E-02  4.239698E-01  2.957228E+00
 -1.00500      2.500000E-02  3.774423E-01  3.538049E-02  3.790969E-01  2.644218E+00
 -1.02000      2.500000E-02  3.375002E-01  3.172279E-02  3.389877E-01  2.370132E+00
 -1.03500      2.500000E-02  3.007554E-01  2.869095E-02  3.021208E-01  2.108731E+00
 -1.05000      2.500000E-02  2.681128E-01  2.576213E-02  2.693477E-01  1.879784E+00
 -1.06500      2.500000E-02  2.388360E-01  2.306739E-02  2.399474E-01  1.674369E+00
 -1.08000      2.500000E-02  2.128996E-01  2.050155E-02  2.138844E-01  1.496343E+00
 -1.09500      2.500000E-02  1.891791E-01  1.845182E-02  1.900769E-01  1.327282E+00
 -1.11000      2.500000E-02  1.682434E-01  1.647899E-02  1.690486E-01  1.180192E+00
 -1.12500      2.500000E-02  1.495623E-01  1.468379E-02  1.502814E-01  1.048939E+00
 -1.14000      2.500000E-02  1.330898E-01  1.298602E-02  1.337219E-01  9.358514E-01
 -1.15500      2.500000E-02  1.180731E-01  1.165646E-02  1.186470E-01  8.287099E-01
 -1.17000      2.500000E-02  1.048674E-01  1.037919E-02  1.053798E-01  7.358372E-01
 -1.18500      2.500000E-02  9.311702E-02  9.223812E-03  9.357275E-02  6.532154E-01
 -1.20000      2.500000E-02  8.278295E-02  8.135080E-03  8.318171E-02  5.822614E-01
 -1.21500      2.500000E-02  7.337799E-02  7.291586E-03  7.373938E-02  5.151188E-01
 -1.23000      2.500000E-02  6.512402E-02  6.482075E-03  6.544582E-02  4.570381E-01
 -1.24500      2.500000E-02  5.779099E-02  5.752145E-03  5.807655E-02  4.054541E-01
 -1.26000      2.500000E-02  5.135117E-02  5.065628E-03  5.160042E-02  3.612361E-01
 -1.27500      2.500000E-02  4.549532E-02  4.536841E-03  4.572097E-02  3.194165E-01
 -1.29000      2.500000E-02  4.036192E-02  4.029626E-03  4.056257E-02  2.832833E-01
 -1.30500      2.500000E-02  3.580509E-02  3.573055E-03  3.598293E-02  2.512208E-01
 -1.32000      2.500000E-02  3.180657E-02  3.144060E-03  3.196159E-02  2.237654E-01
 -1.33500      2.500000E-02  2.817207E-02  2.814676E-03  2.831233E-02  1.978044E-01
 -1.35000      2.500000E-02  2.498803E-02  2.498819E-03  2.511266E-02  1.753886E-01
 -1.36500      2.500000E-02  2.216287E-02  2.214760E-03  2.227326E-02  1.555080E-01
 -1.38000      2.500000E-02  1.968504E-02  1.947986E-03  1.978119E-02  1.384944E-01
 -1.39500      2.500000E-02  1.743311E-02  1.743515E-03  1.752008E-02  1.224069E-01
 -1.41000      2.500000E-02  1.546103E-02  1.547471E-03  1.553828E-02  1.085222E-01
 -1.42500      2.500000E-02  1.371166E-02  1.371249E-03  1.378006E-02  9.621103E-02
 -1.44000      2.500000E-02  1.217780E-02  1.205787E-03  1.223735E-02  8.567928E-02
 -1.45500      2.500000E-02  1.078379E-02  1.079092E-03  1.083765E-02  7.571989E-02
 -1.47000      2.500000E-02  9.563312E-03  9.576284E-04  9.611138E-03  6.712653E-02
 -1.48500      2.500000E-02  8.480805E-03  8.484745E-04  8.523143E-03  5.950810E-02
 -1.50000      2.500000E-02  7.531831E-03  7.459928E-04  7.568684E-03  5.299248E-02
 -1.500000E-02  5.000000E-02  3.018589E+00 -6.046178E-04  3.018589E+00  4.201717E+01
 -3.000000E-02  5.000000E-02  3.019151E+00 -1.204761E-03  3.019152E+00  4.202473E+01
 -4.500000E-02  5.000000E-02  3.020134E+00 -1.793161E-03  3.020134E+00  4.203715E+01
 -6.000000E-02  5.000000E-02  3.021425E+00 -2.373307E-03  3.021426E+00  4.205455E+01
 -7.500000E-02  5.000000E-02  3.023042E+00 -2.913648E-03  3.023044E+00  4.207678E+01
 -9.000000E-02  5.000000E-02  3.024982E+00 -3.423933E-03  3.024984E+00  4.210351E+01
 -0.105000      5.000000E-02  3.027223E+00 -3.899974E-03  3.027226E+00  4.213445E+01
 -0.120000      5.000000E-02  3.029789E+00 -4.344578E-03  3.029792E+00  4.216887E+01
 -0.135000      5.000000E-02  3.032566E+00 -4.711782E-03  3.032570E+00  4.220703E+01
 -0.150000      5.000000E-02  3.035558E+00 -5.022062E-03  3.035562E+00  4.224819E+01
 -0.165000      5.000000E-02  3.038725E+00 -5.270109E-03  3.038729E+00  4.229180E+01
 -0.180000      5.000000E-02  3.042101E+00 -5.458628E-03  3.042106E+00  4.233659E+01
 -0.195000      5.000000E-02  3.045494E+00 -5.521013E-03  3.045499E+00  4.238303E+01
 -0.210000      5.000000E-02  3.048914E+00 -5.491336E-03  3.048919E+00  4.242986E+01
 -0.225000      5.000000E-02  3.052294E+00 -5.362383E-03  3.052299E+00  4.247619E+01
 -0.240000      5.000000E-02  3.055691E+00 -5.136308E-03  3.055696E+00  4.252002E+01
