      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
    0.01          0.0         0.9920039465        0        0.9920039465      0
    0.02          0.0         0.9919635795        0        0.9919635795      0
    0.03          0.0         0.991922803         0        0.991922803       0
    0.04          0.0         0.9918816106        0        0.9918816106      0
    0.05          0.0         0.991839996         0        0.991839996       0
    0.06          0.0         0.9917979527        0        0.9917979527      0
    0.07          0.0         0.991755474         0        0.991755474       0
    0.08          0.0         0.9917125531        0        0.9917125531      0
    0.09          0.0         0.9916691831        0        0.9916691831      0
    0.1           0.0         0.9916253569        0        0.9916253569      0
    0.11          0.0         0.9915810672        0        0.9915810672      0
    0.12          0.0         0.9915363067        0        0.9915363067      0
    0.13          0.0         0.9914910678        0        0.9914910678      0
    0.14          0.0         0.9914453428        0        0.9914453428      0
    0.15          0.0         0.9913991239        0        0.9913991239      0
    0.16          0.0         0.9913524029        0        0.9913524029      0
    0.17          0.0         0.9913051717        0        0.9913051717      0
    0.18          0.0         0.9912574219        0        0.9912574219      0
    0.19          0.0         0.9912091449        0        0.9912091449      0
    0.2           0.0         0.9911603318        0        0.9911603318      0
    0.21          0.0         0.9911109738        0        0.9911109738      0
    0.22          0.0         0.9910610616        0        0.9910610616      0
    0.23          0.0         0.9910105859        0        0.9910105859      0
    0.24          0.0         0.9909595371        0        0.9909595371      0
    0.25          0.0         0.9909079053        0        0.9909079053      0
    0.26          0.0         0.9908556806        0        0.9908556806      0
    0.27          0.0         0.9908028526        0        0.9908028526      0
    0.28          0.0         0.9907494108        0        0.9907494108      0
    0.29          0.0         0.9906953445        0        0.9906953445      0
    0.3           0.0         0.9906406427        0        0.9906406427      0
    0.31          0.0         0.9905852941        0        0.9905852941      0
    0.32          0.0         0.9905292871        0        0.9905292871      0
    0.33          0.0         0.99047261          0        0.99047261        0
    0.34          0.0         0.9904152507        0        0.9904152507      0
    0.35          0.0         0.9903571967        0        0.9903571967      0
    0.36          0.0         0.9902984354        0        0.9902984354      0
    0.37          0.0         0.9902389538        0        0.9902389538      0
    0.38          0.0         0.9901787386        0        0.9901787386      0
    0.39          0.0         0.990117776         0        0.990117776       0
    0.4           0.0         0.9900560522        0        0.9900560522      0
    0.41          0.0         0.9899935527        0        0.9899935527      0
    0.42          0.0         0.9899302629        0        0.9899302629      0
    0.43          0.0         0.9898661676        0        0.9898661676      0
    0.44          0.0         0.9898012514        0        0.9898012514      0
    0.45          0.0         0.9897354985        0        0.9897354985      0
    0.46          0.0         0.9896688926        0        0.9896688926      0
    0.47          0.0         0.9896014169        0        0.9896014169      0
    0.48          0.0         0.9895330543        0        0.9895330543      0
    0.49          0.0         0.9894637872        0        0.9894637872      0
    0.5           0.0         0.9893935976        0        0.9893935976      0
    0.51          0.0         0.9893224669        0        0.9893224669      0
    0.52          0.0         0.9892503761        0        0.9892503761      0
    0.53          0.0         0.9891773055        0        0.9891773055      0
    0.54          0.0         0.9891032352        0        0.9891032352      0
    0.55          0.0         0.9890281444        0        0.9890281444      0
    0.56          0.0         0.9889520119        0        0.9889520119      0
    0.57          0.0         0.9888748159        0        0.9888748159      0
    0.58          0.0         0.988796534         0        0.988796534       0
    0.59          0.0         0.9887171431        0        0.9887171431      0
    0.6           0.0         0.9886366195        0        0.9886366195      0
    0.61          0.0         0.9885549388        0        0.9885549388      0
    0.62          0.0         0.9884720758        0        0.9884720758      0
    0.63          0.0         0.9883880047        0        0.9883880047      0
    0.64          0.0         0.988302699         0        0.988302699       0
    0.65          0.0         0.9882161311        0        0.9882161311      0
    0.66          0.0         0.988128273         0        0.988128273       0
    0.67          0.0         0.9880390956        0        0.9880390956      0
    0.68          0.0         0.9879485689        0        0.9879485689      0
    0.69          0.0         0.9878566622        0        0.9878566622      0
    0.7           0.0         0.9877633435        0        0.9877633435      0
    0.71          0.0         0.9876685803        0        0.9876685803      0
    0.72          0.0         0.9875723385        0        0.9875723385      0
    0.73          0.0         0.9874745835        0        0.9874745835      0
    0.74          0.0         0.9873752793        0        0.9873752793      0
    0.75          0.0         0.9872743887        0        0.9872743887      0
    0.76          0.0         0.9871718734        0        0.9871718734      0
    0.77          0.0         0.9870676939        0        0.9870676939      0
    0.78          0.0         0.9869618095        0        0.9869618095      0
    0.79          0.0         0.9868541778        0        0.9868541778      0
    0.8           0.0         0.9867447554        0        0.9867447554      0
    0.81          0.0         0.9866334971        0        0.9866334971      0
    0.82          0.0         0.9865203565        0        0.9865203565      0
    0.83          0.0         0.9864052853        0        0.9864052853      0
    0.84          0.0         0.9862882338        0        0.9862882338      0
    0.85          0.0         0.9861691504        0        0.9861691504      0
    0.86          0.0         0.9860479818        0        0.9860479818      0
    0.87          0.0         0.9859246728        0        0.9859246728      0
    0.88          0.0         0.9857991662        0        0.9857991662      0
    0.89          0.0         0.9856714028        0        0.9856714028      0
    0.9           0.0         0.9855413211        0        0.9855413211      0
    0.91          0.0         0.9854088576        0        0.9854088576      0
    0.92          0.0         0.9852739462        0        0.9852739462      0
    0.93          0.0         0.9851365186        0        0.9851365186      0
    0.94          0.0         0.9849965037        0        0.9849965037      0
    0.95          0.0         0.9848538278        0        0.9848538278      0
    0.96          0.0         0.9847084144        0        0.9847084144      0
    0.97          0.0         0.9845601841        0        0.9845601841      0
    0.98          0.0         0.9844090542        0        0.9844090542      0
    0.99          0.0         0.9842549388        0        0.9842549388      0
    1             0.0         0.9840977487        0        0.9840977487      0
    1.01          0.0         0.9839373911        0        0.9839373911      0
    1.02          0.0         0.9837737693        0        0.9837737693      0
    1.03          0.0         0.9836067827        0        0.9836067827      0
    1.04          0.0         0.9834363266        0        0.9834363266      0
    1.05          0.0         0.9832622916        0        0.9832622916      0
    1.06          0.0         0.9830845642        0        0.9830845642      0
    1.07          0.0         0.9829030256        0        0.9829030256      0
    1.08          0.0         0.9827175519        0        0.9827175519      0
    1.09          0.0         0.9825280141        0        0.9825280141      0
    1.1           0.0         0.9823342771        0        0.9823342771      0
    1.11          0.0         0.9821362           0        0.9821362         0
    1.12          0.0         0.9819336356        0        0.9819336356      0
    1.13          0.0         0.9817264296        0        0.9817264296      0
    1.14          0.0         0.9815144209        0        0.9815144209      0
    1.15          0.0         0.9812974408        0        0.9812974408      0
    1.16          0.0         0.9810753125        0        0.9810753125      0
    1.17          0.0         0.9808478508        0        0.9808478508      0
    1.18          0.0         0.9806148616        0        0.9806148616      0
    1.19          0.0         0.9803761412        0        0.9803761412      0
    1.2           0.0         0.9801314757        0        0.9801314757      0
    1.21          0.0         0.9798806405        0        0.9798806405      0
    1.22          0.0         0.9796233997        0        0.9796233997      0
    1.23          0.0         0.979359505         0        0.979359505       0
    1.24          0.0         0.9790886952        0        0.9790886952      0
    1.25          0.0         0.9788106954        0        0.9788106954      0
    1.26          0.0         0.9785252157        0        0.9785252157      0
    1.27          0.0         0.9782319508        0        0.9782319508      0
    1.28          0.0         0.9779305781        0        0.9779305781      0
    1.29          0.0         0.9776207574        0        0.9776207574      0
    1.3           0.0         0.977302129         0        0.977302129       0
    1.31          0.0         0.9769743125        0        0.9769743125      0
    1.32          0.0         0.9766369055        0        0.9766369055      0
    1.33          0.0         0.9762894817        0        0.9762894817      0
    1.34          0.0         0.975931589         0        0.975931589       0
    1.35          0.0         0.975562748         0        0.975562748       0
    1.36          0.0         0.9751824497        0        0.9751824497      0
    1.37          0.0         0.9747901527        0        0.9747901527      0
    1.38          0.0         0.9743852816        0        0.9743852816      0
    1.39          0.0         0.9739672231        0        0.9739672231      0
    1.4           0.0         0.9735353239        0        0.9735353239      0
    1.41          0.0         0.9730888868        0        0.9730888868      0
    1.42          0.0         0.972627167         0        0.972627167       0
    1.43          0.0         0.972149368         0        0.972149368       0
    1.44          0.0         0.9716546375        0        0.9716546375      0
    1.45          0.0         0.9711420616        0        0.9711420616      0
    1.46          0.0         0.97061066          0        0.97061066        0
    1.47          0.0         0.9700593791        0        0.9700593791      0
    1.48          0.0         0.9694870858        0        0.9694870858      0
    1.49          0.0         0.9688925592        0        0.9688925592      0
    1.5           0.0         0.9682744826        0        0.9682744826      0
    1.51          0.0         0.9676314332        0        0.9676314332      0
    1.52          0.0         0.9669618719        0        0.9669618719      0
    1.53          0.0         0.9662641311        0        0.9662641311      0
    1.54          0.0         0.9655364005        0        0.9655364005      0
    1.55          0.0         0.9647767125        0        0.9647767125      0
    1.56          0.0         0.9639829239        0        0.9639829239      0
    1.57          0.0         0.9631526966        0        0.9631526966      0
    1.58          0.0         0.9622834746        0        0.9622834746      0
    1.59          0.0         0.9613724585        0        0.9613724585      0
    1.6           0.0         0.9604165758        0        0.9604165758      0
    1.61          0.0         0.959412447         0        0.959412447       0
    1.62          0.0         0.9583563464        0        0.9583563464      0
    1.63          0.0         0.9572441571        0        0.9572441571      0
    1.64          0.0         0.9560713183        0        0.9560713183      0
    1.65          0.0         0.9548327647        0        0.9548327647      0
    1.66          0.0         0.9535228549        0        0.9535228549      0
    1.67          0.0         0.9521352879        0        0.9521352879      0
    1.68          0.0         0.9506630047        0        0.9506630047      0
    1.69          0.0         0.949098072         0        0.949098072       0
    1.7           0.0         0.9474315433        0        0.9474315433      0
    1.71          0.0         0.9456532943        0        0.9456532943      0
    1.72          0.0         0.9437518241        0        0.9437518241      0
    1.73          0.0         0.9417140166        0        0.9417140166      0
    1.74          0.0         0.9395248497        0        0.9395248497      0
    1.75          0.0         0.9371670418        0        0.9371670418      0
    1.76          0.0         0.934620617         0        0.934620617       0
    1.77          0.0         0.9318623682        0        0.9318623682      0
    1.78          0.0         0.9288651885        0        0.9288651885      0
    1.79          0.0         0.9255972347        0        0.9255972347      0
    1.8           0.0         0.9220208696        0        0.9220208696      0
    1.81          0.0         0.9180913176        0        0.9180913176      0
    1.82          0.0         0.9137549389        0        0.9137549389      0
    1.83          0.0         0.9089469981        0        0.9089469981      0
    1.84          0.0         0.903588752         0        0.903588752       0
    1.85          0.0         0.8975836177        0        0.8975836177      0
    1.86          0.0         0.8908120886        0        0.8908120886      0
    1.87          0.0         0.8831249387        0        0.8831249387      0
    1.88          0.0         0.8743340836        0        0.8743340836      0
    1.89          0.0         0.8642002512        0        0.8642002512      0
